iter	Passed	Remaining
0	123	123144
1	127	63802
2	133	44301
3	137	34342
4	141	28105
5	144	23927
6	147	20899
7	149	18591
8	152	16831
9	156	15498
10	158	14290
11	161	13323
12	163	12388
13	164	11558
14	165	10845
15	169	10427
16	172	9987
17	175	9587
18	178	9219
19	181	8913
20	184	8616
21	188	8372
22	191	8136
23	195	7961
24	198	7757
25	202	7572
26	204	7383
27	207	7196
28	211	7082
29	214	6945
30	218	6827
31	221	6700
32	225	6593
33	229	6516
34	232	6416
35	236	6344
36	240	6265
37	243	6175
38	247	6104
39	250	6011
40	254	5948
41	256	5850
42	259	5780
43	264	5737
44	267	5671
45	270	5620
46	274	5556
47	277	5511
48	279	5432
49	283	5379
50	285	5320
51	288	5268
52	292	5228
53	295	5184
54	299	5141
55	302	5094
56	306	5071
57	309	5033
58	315	5035
59	322	5046
60	326	5031
61	330	4998
62	334	4976
63	338	4951
64	341	4915
65	345	4892
66	349	4867
67	353	4840
68	357	4819
69	360	4788
70	364	4764
71	366	4720
72	367	4664
73	369	4619
74	371	4579
75	374	4556
76	377	4523
77	380	4492
78	383	4472
79	386	4443
80	387	4397
81	388	4352
82	389	4302
83	390	4255
84	390	4207
85	392	4167
86	394	4137
87	397	4114
88	399	4087
89	401	4063
90	404	4035
91	406	4007
92	408	3982
93	410	3957
94	412	3928
95	414	3902
96	416	3879
97	418	3851
98	420	3822
99	421	3797
100	423	3768
101	425	3744
102	427	3723
103	429	3704
104	431	3679
105	433	3657
106	435	3632
107	436	3605
108	437	3577
109	439	3557
110	441	3532
111	442	3508
112	444	3485
113	445	3463
114	446	3435
115	447	3408
116	447	3379
117	448	3353
118	449	3326
119	450	3300
120	450	3275
121	451	3251
122	452	3228
123	453	3206
124	454	3182
125	455	3160
126	456	3137
127	457	3116
128	458	3094
129	459	3072
130	460	3051
131	461	3032
132	462	3014
133	463	2993
134	464	2973
135	464	2953
136	465	2933
137	466	2913
138	467	2894
139	468	2875
140	469	2857
141	469	2839
142	471	2828
143	473	2812
144	474	2795
145	475	2779
146	476	2762
147	476	2745
148	478	2730
149	478	2714
150	479	2697
151	480	2681
152	481	2666
153	482	2650
154	483	2636
155	484	2623
156	486	2609
157	487	2595
158	488	2583
159	489	2570
160	490	2554
161	491	2540
162	492	2526
163	492	2512
164	493	2499
165	495	2487
166	496	2474
167	497	2462
168	498	2450
169	499	2438
170	500	2426
171	501	2414
172	502	2402
173	503	2391
174	504	2378
175	505	2366
176	506	2354
177	507	2343
178	508	2332
179	509	2320
180	510	2307
181	510	2296
182	511	2284
183	513	2275
184	514	2264
185	515	2254
186	516	2244
187	517	2233
188	518	2224
189	519	2213
190	520	2202
191	520	2191
192	521	2181
193	522	2171
194	523	2160
195	524	2150
196	524	2139
197	525	2130
198	526	2119
199	527	2109
200	528	2100
201	529	2090
202	530	2080
203	530	2071
204	531	2061
205	532	2052
206	533	2043
207	534	2034
208	535	2025
209	535	2015
210	536	2006
211	537	1997
212	538	1988
213	538	1979
214	539	1970
215	540	1961
216	541	1952
217	541	1943
218	542	1935
219	543	1927
220	544	1919
221	545	1910
222	546	1903
223	547	1895
224	548	1888
225	548	1880
226	549	1872
227	550	1863
228	551	1855
229	551	1847
230	552	1839
231	553	1832
232	554	1824
233	554	1816
234	555	1808
235	556	1800
236	556	1792
237	557	1785
238	558	1778
239	559	1771
240	560	1765
241	561	1759
242	562	1752
243	563	1745
244	564	1738
245	565	1732
246	565	1725
247	566	1718
248	567	1712
249	568	1706
250	569	1700
251	570	1693
252	571	1687
253	572	1681
254	574	1677
255	575	1672
256	576	1667
257	577	1661
258	578	1656
259	579	1650
260	581	1645
261	582	1639
262	583	1633
263	583	1627
264	584	1621
265	586	1617
266	587	1611
267	588	1607
268	590	1603
269	591	1598
270	592	1593
271	593	1588
272	594	1583
273	595	1578
274	596	1572
275	597	1567
276	598	1562
277	599	1557
278	600	1552
279	601	1547
280	603	1542
281	604	1538
282	606	1535
283	607	1532
284	609	1528
285	610	1524
286	611	1519
287	612	1515
288	614	1511
289	615	1506
290	616	1501
291	617	1497
292	619	1494
293	621	1491
294	623	1488
295	624	1485
296	625	1480
297	626	1476
298	627	1472
299	629	1468
300	630	1464
301	631	1460
302	632	1456
303	634	1452
304	635	1448
305	637	1445
306	638	1441
307	640	1438
308	641	1435
309	642	1431
310	644	1427
311	645	1422
312	646	1418
313	647	1415
314	649	1412
315	651	1409
316	652	1405
317	653	1401
318	654	1397
319	655	1393
320	656	1389
321	657	1384
322	658	1381
323	660	1377
324	661	1373
325	662	1369
326	663	1365
327	665	1362
328	666	1359
329	667	1355
330	668	1351
331	669	1347
332	670	1343
333	671	1338
334	672	1334
335	673	1330
336	674	1326
337	675	1322
338	676	1318
339	677	1315
340	678	1311
341	680	1308
342	681	1305
343	682	1301
344	683	1297
345	684	1294
346	685	1290
347	686	1286
348	687	1282
349	688	1279
350	689	1275
351	690	1271
352	691	1267
353	693	1264
354	695	1263
355	696	1260
356	698	1257
357	700	1256
358	701	1252
359	702	1248
360	703	1245
361	705	1242
362	706	1239
363	708	1237
364	710	1235
365	711	1232
366	712	1229
367	714	1226
368	715	1223
369	716	1219
370	717	1216
371	718	1213
372	719	1210
373	721	1207
374	722	1203
375	723	1200
376	724	1197
377	725	1193
378	726	1190
379	727	1187
380	728	1184
381	729	1180
382	730	1177
383	731	1174
384	732	1170
385	734	1167
386	735	1164
387	736	1161
388	737	1157
389	737	1154
390	739	1151
391	741	1149
392	742	1147
393	744	1144
394	745	1141
395	746	1137
396	747	1135
397	748	1131
398	749	1128
399	750	1125
400	751	1122
401	752	1119
402	753	1116
403	754	1113
404	756	1110
405	758	1110
406	761	1110
407	765	1110
408	768	1110
409	772	1111
410	775	1111
411	778	1111
412	781	1111
413	785	1112
414	788	1111
415	792	1111
416	795	1111
417	798	1111
418	800	1110
419	803	1109
420	807	1110
421	810	1109
422	813	1110
423	817	1110
424	820	1109
425	822	1108
426	827	1109
427	830	1109
428	832	1108
429	836	1108
430	839	1108
431	843	1108
432	846	1108
433	847	1105
434	848	1102
435	852	1102
436	856	1102
437	861	1105
438	864	1104
439	867	1103
440	870	1103
441	873	1102
442	877	1102
443	880	1102
444	884	1102
445	887	1102
446	889	1099
447	890	1097
448	893	1095
449	898	1097
450	902	1098
451	905	1097
452	907	1096
453	910	1095
454	913	1094
455	916	1093
456	919	1092
457	920	1089
458	922	1087
459	925	1086
460	927	1084
461	930	1083
462	932	1081
463	934	1079
464	936	1076
465	937	1074
466	939	1072
467	942	1070
468	944	1068
469	947	1068
470	948	1065
471	950	1063
472	952	1061
473	954	1059
474	956	1057
475	958	1054
476	960	1053
477	962	1051
478	964	1048
479	964	1045
480	966	1042
481	968	1040
482	970	1038
483	972	1036
484	974	1034
485	976	1032
486	978	1030
487	979	1028
488	981	1025
489	982	1022
490	984	1020
491	987	1019
492	989	1017
493	991	1016
494	994	1014
495	995	1011
496	997	1009
497	999	1007
498	1000	1004
499	1003	1003
500	1005	1001
501	1006	998
502	1008	996
503	1009	993
504	1011	991
505	1013	989
506	1014	986
507	1017	985
508	1018	982
509	1020	980
510	1022	978
511	1024	976
512	1025	973
513	1027	971
514	1029	969
515	1030	967
516	1033	965
517	1035	963
518	1037	961
519	1039	959
520	1041	957
521	1042	955
522	1044	952
523	1045	949
524	1048	948
525	1050	946
526	1052	944
527	1054	942
528	1055	939
529	1057	937
530	1059	935
531	1061	933
532	1062	931
533	1064	928
534	1066	926
535	1068	925
536	1070	922
537	1071	920
538	1073	917
539	1074	915
540	1076	913
541	1078	910
542	1079	908
543	1080	906
544	1082	903
545	1083	900
546	1084	898
547	1086	895
548	1087	893
549	1089	891
550	1090	888
551	1091	886
552	1093	883
553	1095	881
554	1096	879
555	1097	876
556	1098	873
557	1099	871
558	1100	868
559	1101	865
560	1103	863
561	1104	860
562	1105	857
563	1107	855
564	1116	859
565	1118	858
566	1122	856
567	1125	856
568	1128	854
569	1131	853
570	1134	852
571	1137	851
572	1141	850
573	1144	849
574	1148	848
575	1151	847
576	1154	846
577	1157	845
578	1160	844
579	1163	842
580	1168	842
581	1172	842
582	1176	841
583	1179	840
584	1183	839
585	1189	840
586	1192	838
587	1196	838
588	1199	837
589	1204	837
590	1208	836
591	1212	835
592	1216	834
593	1219	833
594	1223	832
595	1226	831
596	1229	829
597	1233	828
598	1236	827
599	1240	826
600	1243	825
601	1246	824
602	1249	822
603	1253	821
604	1256	820
605	1259	818
606	1262	817
607	1265	815
608	1268	814
609	1270	812
610	1274	811
611	1277	810
612	1279	807
613	1280	805
614	1282	803
615	1285	801
616	1289	800
617	1292	798
618	1294	796
619	1297	794
620	1299	793
621	1302	791
622	1305	789
623	1306	787
624	1309	785
625	1311	783
626	1313	781
627	1316	779
628	1319	778
629	1322	776
630	1324	774
631	1326	772
632	1328	770
633	1330	767
634	1333	766
635	1335	764
636	1338	762
637	1340	760
638	1342	758
639	1343	755
640	1347	754
641	1350	752
642	1352	750
643	1354	748
644	1356	746
645	1358	744
646	1360	742
647	1363	740
648	1366	738
649	1368	736
650	1370	734
651	1371	731
652	1373	729
653	1374	727
654	1376	725
655	1378	723
656	1381	721
657	1382	718
658	1384	716
659	1385	713
660	1387	711
661	1388	709
662	1390	706
663	1392	704
664	1395	702
665	1397	700
666	1398	698
667	1400	695
668	1401	693
669	1403	691
670	1404	688
671	1407	686
672	1408	684
673	1410	682
674	1411	679
675	1412	677
676	1414	674
677	1415	672
678	1416	669
679	1418	667
680	1419	664
681	1421	662
682	1423	660
683	1424	658
684	1426	655
685	1427	653
686	1429	651
687	1430	648
688	1431	646
689	1432	643
690	1433	641
691	1434	638
692	1436	636
693	1437	633
694	1439	631
695	1440	629
696	1441	626
697	1443	624
698	1444	621
699	1445	619
700	1446	617
701	1447	614
702	1449	612
703	1450	610
704	1452	607
705	1453	605
706	1455	603
707	1456	600
708	1457	598
709	1459	595
710	1460	593
711	1460	590
712	1462	588
713	1463	586
714	1464	583
715	1465	581
716	1466	578
717	1468	576
718	1469	574
719	1470	571
720	1471	569
721	1472	567
722	1473	564
723	1474	562
724	1475	559
725	1476	557
726	1477	554
727	1478	552
728	1479	550
729	1480	547
730	1482	545
731	1483	543
732	1485	540
733	1485	538
734	1486	536
735	1488	533
736	1489	531
737	1490	528
738	1491	526
739	1492	524
740	1492	521
741	1493	519
742	1494	517
743	1495	514
744	1496	512
745	1498	510
746	1499	507
747	1500	505
748	1501	503
749	1501	500
750	1502	498
751	1503	495
752	1504	493
753	1505	491
754	1506	488
755	1507	486
756	1508	484
757	1509	481
758	1509	479
759	1511	477
760	1512	474
761	1513	472
762	1514	470
763	1515	468
764	1516	465
765	1517	463
766	1518	461
767	1518	458
768	1519	456
769	1520	454
770	1521	451
771	1522	449
772	1523	447
773	1524	445
774	1525	442
775	1526	440
776	1527	438
777	1528	436
778	1529	433
779	1531	431
780	1532	429
781	1533	427
782	1533	425
783	1534	422
784	1535	420
785	1536	418
786	1537	416
787	1537	413
788	1538	411
789	1539	409
790	1540	407
791	1546	406
792	1546	403
793	1547	401
794	1549	399
795	1550	397
796	1552	395
797	1553	393
798	1555	391
799	1556	389
800	1558	387
801	1560	385
802	1562	383
803	1563	381
804	1564	379
805	1566	376
806	1567	374
807	1568	372
808	1569	370
809	1570	368
810	1572	366
811	1574	364
812	1576	362
813	1577	360
814	1578	358
815	1580	356
816	1581	354
817	1582	352
818	1583	349
819	1585	347
820	1586	345
821	1587	343
822	1589	341
823	1591	339
824	1592	337
825	1593	335
826	1594	333
827	1596	331
828	1597	329
829	1598	327
830	1599	325
831	1601	323
832	1602	321
833	1604	319
834	1606	317
835	1607	315
836	1608	313
837	1610	311
838	1611	309
839	1612	307
840	1614	305
841	1615	303
842	1616	301
843	1618	299
844	1621	297
845	1623	295
846	1625	293
847	1628	291
848	1629	289
849	1631	287
850	1633	285
851	1634	283
852	1636	282
853	1638	280
854	1639	278
855	1640	276
856	1642	274
857	1643	272
858	1645	270
859	1646	268
860	1648	266
861	1650	264
862	1651	262
863	1652	260
864	1654	258
865	1655	256
866	1656	254
867	1657	252
868	1658	250
869	1660	248
870	1661	246
871	1663	244
872	1664	242
873	1666	240
874	1667	238
875	1669	236
876	1670	234
877	1672	232
878	1673	230
879	1674	228
880	1675	226
881	1676	224
882	1678	222
883	1679	220
884	1680	218
885	1682	216
886	1683	214
887	1684	212
888	1685	210
889	1686	208
890	1687	206
891	1688	204
892	1689	202
893	1690	200
894	1691	198
895	1692	196
896	1694	194
897	1695	192
898	1696	190
899	1697	188
900	1698	186
901	1700	184
902	1701	182
903	1702	180
904	1703	178
905	1704	176
906	1705	174
907	1706	172
908	1707	170
909	1709	169
910	1710	167
911	1711	165
912	1712	163
913	1714	161
914	1715	159
915	1716	157
916	1717	155
917	1718	153
918	1720	151
919	1721	149
920	1722	147
921	1723	145
922	1724	143
923	1725	141
924	1726	140
925	1727	138
926	1728	136
927	1729	134
928	1730	132
929	1731	130
930	1732	128
931	1733	126
932	1734	124
933	1735	122
934	1736	120
935	1737	118
936	1738	116
937	1739	115
938	1741	113
939	1742	111
940	1742	109
941	1743	107
942	1744	105
943	1745	103
944	1746	101
945	1747	99
946	1748	97
947	1748	95
948	1749	94
949	1750	92
950	1751	90
951	1752	88
952	1753	86
953	1755	84
954	1756	82
955	1757	80
956	1758	78
957	1759	77
958	1760	75
959	1761	73
960	1762	71
961	1762	69
962	1763	67
963	1764	65
964	1765	64
965	1766	62
966	1766	60
967	1768	58
968	1768	56
969	1770	54
970	1771	52
971	1772	51
972	1773	49
973	1773	47
974	1774	45
975	1775	43
976	1776	41
977	1777	39
978	1778	38
979	1778	36
980	1779	34
981	1780	32
982	1781	30
983	1782	28
984	1783	27
985	1785	25
986	1786	23
987	1787	21
988	1788	19
989	1789	18
990	1790	16
991	1791	14
992	1792	12
993	1793	10
994	1794	9
995	1795	7
996	1796	5
997	1797	3
998	1798	1
999	1800	0
